Name	Subtasks	Server	Dependent On
BIR_Objects.AEPOEP.lkp_AEPPremiumBilling		BI-RPT-PROD	"scands_prod.dbo.d_member, scands_prod.dbo.d_provider, scands_prod.dbo.d_memberplan, scands_prod.dbo.b_memberapplicationhistory, scands_prod.dbo.d_salesrep, BIR_Objects.dbo.SalesBrokerAgencyCrosswalk, ikaods.dbo.gw_enrollmember_details, BIR_Objects.dbo.lkp_CMSPBP, scands_prod.dbo.d_site_attributes, scands_finance.dbo.lkp_glbenefitplan, scands_prod.dbo.d_memberenrollment_mc400, scands_prod.dbo.d_memberpcp, scands_prod.dbo.d_membersite, scands_prod.dbo.d_memberenrollment, scands_prod.dbo.f_cmstrr, scands_prod.dbo.F_CMSMMR, AgentCubdedODS.A3_curr.AgencyManagementParty, AgentCubdedODS.A3_curr.AgencyManagementArrangement, AgentCubdedODS.A3_curr.AgencyManagementArrangementContract, ikaods.dbo.GW_BEQ_RESPONSE_ARCHIVE, Marketing.dbo.Rpt_EnrollCampaignSource_TS, BIR_Objects.dbo.Campaign Map, scands_prod.dbo.F_CampaignCall, Marketing.dbo.Mktg_Digital_Metrics, BIR_Objects.dbo.campaign_map_xref, Marketing.dbo.F_Marketing_Campaign, scands_prod.dbo.F_LeadSource, scands_prod.dbo.F_LeadToMember, SCANDS_Prod.dbo.D_MemberRider, scands_prod.dbo.f_membermonth, ikaods.dbo.gw_cms_weekly_monthly_trr_archi, scands_prod.dbo.D_Member_Void, scands_prod.dbo.D_Member_Attributes_Void"
BIR_Objects.dbo.lkp_CMSPBP		BI-RPT-PROD	"sp_DisenrollmentCube, sp_MarketingActuals, spAEPPrepCurrentEnrollmentsDisEnrollments"
BIR_Objects.dbo.Campaign Map		BI-RPT-PROD	"Marketing.dbo.Mktg_Digital_Metrics, bir_objects.dbo.Campaign_map_counts, BIR_Objects.dbo.CaliforniaPhonePrefixs, SCANDS_prod.dbo.F_Call, SCANDS_prod.dbo.F_CallEvent, scands_prod.dbo.f_conversationdetail, scands_prod.dbo.f_conversationdetailevent, Marketing.dbo.Rpt_EnrollCampaignSource_TS, BIR_Objects.dbo.campaign_map_xref"
BIR_Objects.dbo.campaign_map_xref		BI-RPT-PROD	"Marketing.dbo.Mktg_Digital_Metrics, bir_objects.dbo.Campaign_map_counts, BIR_Objects.dbo.CaliforniaPhonePrefixs, SCANDS_prod.dbo.F_Call, SCANDS_prod.dbo.F_CallEvent, scands_prod.dbo.f_conversationdetail, scands_prod.dbo.f_conversationdetailevent, Marketing.dbo.Rpt_EnrollCampaignSource_TS"
BIR_Objects.dbo.lkp_CMSPBP		BI-RPT-PROD	"sp_DisenrollmentCube, sp_MarketingActuals, spAEPPrepCurrentEnrollmentsDisEnrollments"
BIR_Objects.dbo.CXI_InquiryTopic_EXT		BI-RPT-PROD	bir_objects.dbo.sp_CXI_VOC_RPT_Delta
BIR_Objects.dbo.CXI_LKP_GenesysIkaBridge		BI-RPT-PROD	"ScanDS_STAGING.dbo.Stg_HCI_Homebound, ikaods.dbo.GW_Enrollment_Details, scands_prod.dbo.d_memberpcp, scands_prod.dbo.f_contactinquiry"
scands_prod.dbo.D_MemberNetworkHierarchy		BI-RPT-PROD	athenaembraceods.dbo.provider
scands_prod.dbo.F_CampaignCall		BI-RPT-PROD	"AgentCubedODS.A3_curr.Opportunity, AgentCubedODS.A3_curr.Source, MarketingCampaign_MergedCalls, MarketingCampaign_A3FromWho, MarketingCampaign_McCustAll"
scands_prod.dbo.F_CMSMMR		BI-RPT-PROD	scands_prod.dbo.sp_Cap_Tool_2_v4
scands_prod.dbo.F_LeadSource		BI-RPT-PROD	"AgentCubedODS.A3_curr.Opportunity, AgentCubedODS.A3_curr.Individual, AgentCubedODS.A3_curr.Source, AgentCubedODS.A3_curr.MasterSource"
scands_prod.dbo.F_LeadToMember		BI-RPT-PROD	"AgentCubedODS.A3_curr.Opportunity, AgentCubedODS.A3_curr.Individual, AgentCubedODS.A3_curr.Source, AgentCubedODS.A3_curr.MasterSource, AgentCubedODS.A3_curr.Customer, AgentCubedODS.A3_curr.PolicyStatus, AgentCubedODS.A3_curr.User, AgentCubedODS.A3_curr.State, AgentCubedODS.A3_curr.CarrierPlan, AgentCubedODS.A3_curr.ZipPostalCodeInformation, scands_prod.dbo.d_member, SCANDS_Prod.dbo.D_MemberLanguage, SCANDS_Prod.dbo.D_MemberRace, SCANDS_Prod.dbo.F_ElecEnroll_Enrollment"
lkp_AEPPremiumBilling			"scands_prod.dbo.d_member, scands_prod.dbo.d_provider, scands_prod.dbo.d_memberplan, scands_prod.dbo.b_memberapplicationhistory, scands_prod.dbo.d_salesrep, BIR_Objects.dbo.SalesBrokerAgencyCrosswalk, ikaods.dbo.gw_enrollmember_details, BIR_Objects.dbo.lkp_CMSPBP, scands_prod.dbo.d_site_attributes, scands_finance.dbo.lkp_glbenefitplan, scands_prod.dbo.d_memberenrollment_mc400, scands_prod.dbo.d_memberpcp, scands_prod.dbo.d_membersite, scands_prod.dbo.d_memberenrollment, scands_prod.dbo.f_cmstrr, scands_prod.dbo.F_CMSMMR, AgentCubdedODS.A3_curr.AgencyManagementParty, AgentCubdedODS.A3_curr.AgencyManagementArrangement, AgentCubdedODS.A3_curr.AgencyManagementArrangementContract, ikaods.dbo.GW_BEQ_RESPONSE_ARCHIVE, Marketing.dbo.Rpt_EnrollCampaignSource_TS, BIR_Objects.dbo.Campaign Map, scands_prod.dbo.F_CampaignCall, Marketing.dbo.Mktg_Digital_Metrics, BIR_Objects.dbo.campaign_map_xref, Marketing.dbo.F_Marketing_Campaign, scands_prod.dbo.F_LeadSource, scands_prod.dbo.F_LeadToMember, SCANDS_Prod.dbo.D_MemberRider, scands_prod.dbo.f_membermonth, ikaods.dbo.gw_cms_weekly_monthly_trr_archi, scands_prod.dbo.D_Member_Void, scands_prod.dbo.D_Member_Attributes_Void"
Marketing.dbo.Rpt_EnrollCampaignSource_TS			Marketing.dbo.vw_rpt_EnrollCampaignSource_TS
rpt_VOC_Surveys			(DS-STAGE-TEST[FILE(rpt_voc_surveys.dtsx)])
scands_prod.dbo.D_Member_Void		BI-RPT-PROD	"ikaods.dbo.gw_enrollmember_details, IKAODS.dbo.FAMILY_HISTORY"
scands_prod.dbo.D_Member_Attributes_Void		BI-RPT-PROD	"ikaods.dbo.gw_enrollmember_details, ikaods.dbo.gw_enrollmember_lisdetails, scands_prod.dbo.d_memberlics, d_memberpcpSite_Void, scands_prod.dbo.d_memberplan, scands_finance.dbo.lkp_glbenefitplan, lkp_contract, lkp_BenefitCounty"
sp_CollapseRecordsMemberPlan			"scands_prod.dbo.d_member_attributes, scands_prod.dbo.d_memberplan"
pharmacy.dbo.CD_File_Monthly		BI-RPT-PROD	pharmacy.dbo.spCD_File_Monthly_Delete
SCANDS_Prod.dbo.F_CampaignCallTo1stLead		BI-RPT-PROD	scands_prod.dbo.F_CampaignCall
bir_objects.dbo.Campaign_map_counts		BI-RPT-PROD	"pathembraceods.dbo.provider, pathembraceods.dbo.question, BIR_Objects.dbo.Campaign Map"
BIR_Objects.dbo.CaliforniaPhonePrefixs		BI-RPT-PROD	"BIR_Objects.dbo.Campaign Map, SCANDS_prod.dbo.F_Call, SCANDS_prod.dbo.F_CallEvent"
Marketing.dbo.vw_rpt_EnrollCampaignSource_TS			Marketing.dbo.Rpt_EnrollCampaignSource_TS
scands_prod.dbo.VW_MemberUtilization_Header		BI-RPT-PROD	scands_prod.dbo.f_claim
pharmacy.dbo.spCD_File_Monthly_Delete		BI-RPT-PROD	pharmacy.dbo.CD_File_Monthly
scands_prod.dbo.sp_Cap_Tool_2_v4		BI-RPT-PROD	"capitation.dbo.CAP_TOOL_MMR1, capitation.dbo.CAP_TOOL_MMR2, capitation.dbo.CAP_TOOL_MMR25, capitation.dbo.CAP_TOOL_MMR3, capitation.dbo.CAP_TOOL_MMR4"
bir_objects.dbo.sp_CXI_VOC_RPT_Delta		BI-RPT-PROD	"scands_prod.dbo.d_member, scands_prod.dbo.d_member_attributes, scands_prod.dbo.d_memberaddress, scands_prod.dbo.D_MemberNetworkHierarchy, scands_prod.dbo.f_contactinquiry, bir_objects.dbo.cxi_voc_rpt, rpt_VOC_Surveys"
scands_prod.dbo.sp_UpdateKeyColumns_Detail		BI-RPT-PROD	"scands_prod.dbo.d_conversationqueue, scands_prod.dbo.d_conversationteam, scands_prod.dbo.d_conversationuser, scands_prod.dbo.d_member, scands_prod.dbo.D_Member_Void, scands_prod.dbo.f_conversation, scands_prod.dbo.f_conversationdetail"
scands_prod.dbo.spMedHok_GetMemberLabServiceData		BI-RPT-PROD	"scands_prod.dbo.d_provider, scands_prod.dbo.lkp_ika_Member_MC400_to_ika_CrossRef"
scands_prod.dbo.spMedHok_GetMemberLabResultsData		BI-RPT-PROD	scands_prod.dbo.lkp_ika_Member_MC400_to_ika_CrossRef
scands_prod.dbo.VW_F_HCS_Care_CoordSurveyQNA		BI-RPT-PROD	"scands_prod.dbo.f_vocsurvey, scands_prod.dbo.f_vocsurveyresponse, scands_prod.dbo.B_VOCSurveyQuestion, scands_prod.dbo.D_VOCSurvey"
scands_prod.dbo.B_VOCSurveyQuestion		BI-RPT-PROD	"scands_prod.dbo.VW_F_ProviderSurveyQNA, scands_prod.dbo.VW_F_HCS_Care_CoordSurveyQNA"
scands_prod.dbo.D_VOCSurvey		BI-RPT-PROD	"scands_prod.dbo.VW_F_HCS_Care_CoordSurveyQNA, scands_prod.dbo.VW_F_ProviderSurveyQNA, scands_prod.dbo.VW_F_VOC_SerniorAdvocateCalls, scands_prod.dbo.VW_F_VOCSurveyQNA"
scands_prod.dbo.VW_F_ProviderSurveyQNA		BI-RPT-PROD	"scands_prod.dbo.f_vocsurvey, scands_prod.dbo.f_vocsurveyresponse, scands_prod.dbo.D_VOCSurvey, scands_prod.dbo.d_vocquestion, scands_prod.dbo.B_VOCSurveyQuestion"
scands_prod.dbo.VW_F_VOC_SerniorAdvocateCalls		BI-RPT-PROD	"GenesysODS.dbo.wrapupcodes, scands_prod.dbo.f_vocsurveyresponse, scands_prod.dbo.f_vocsurvey, scands_prod.dbo.f_conversation, scands_prod.dbo.f_conversationdetail, scands_prod.dbo.f_conversationdetailevent, scands_prod.dbo.D_VOCSurvey, scands_prod.dbo.d_vocquestion, scands_prod.dbo.d_conversationuser, scands_prod.dbo.d_conversationcampaign"
scands_prod.dbo.VW_F_VOCSurveyQNA		BI-RPT-PROD	"scands_prod.dbo.d_vocquestion, scands_prod.dbo.D_VOCSurvey, scands_prod.dbo.f_vocsurvey, scands_prod.dbo.f_vocsurveyresponse"
pharmacy.dbo.spESIForm_CheckIfActive		BI-RPT-PROD	pharmacy.dbo.esi_formulary
pharmacy.dbo.spESIForm_InsertDatainto_ESI_Formulary		BI-RPT-PROD	pharmacy.dbo.esi_formulary
pharmacy.dbo.spESIForm_TotalRecCountFromMonth		BI-RPT-PROD	pharmacy.dbo.esi_formulary
product.dbo.KPI_FileLog		BI-RPT-PROD	"product.dbo.spKPI_getExceptionRecords, product.dbo.spKPI_BuildEmailBodyMessage, product.dbo.spKPI_CheckFileLogExist, product.dbo.sp_KPI_DeactiveateLastFileLog, product.dbo.spKPI_InsertFileLog"
product.dbo.spKPI_LoadtoDestination		BI-RPT-PROD	"product.dbo.kpi_formatmapping_config, product.dbo.kpi_vendor_config, product.dbo.kpi_vendor_input, product.dbo.kpi_vendorgoal_config"
product.dbo.spKPI_VenderInputValidation		BI-RPT-PROD	"product.dbo.kpi_formatmapping_config, product.dbo.kpi_vendor_config, product.dbo.kpi_vendor_input"
product.dbo.vw_Vendor_KPI		BI-RPT-PROD	"product.dbo.kpi_formatmapping_config, product.dbo.kpi_vendor_config, product.dbo.kpi_vendorgoal_config, product.dbo.kpi_vendor_input"
scands_prod.dbo.f_rxclaim_dailypaid		BI-RPT-PROD	"Pharmacy.dbo.ESI_PharmacyClaims_DailyPaid, Pharmacy.dbo.ESI_PharmacyClaims_DailyReject"
pharmacy.dbo.mf2name		BI-RPT-PROD	"pharmacy.dbo.1kp_QRTS_MSP, pharmacy.dbo.spNDC_Codes_getdata, pharmacy.dbo.spMediSpan_MF2name_UpdateInsertDest"
pharmacy.dbo.mf2ndc		BI-RPT-PROD	"pharmacy.dbo.spMediSpan_MF2name_UpdateInsertDest, pharmacy.dbo.spNDC_Codes_getdata, pharmacy.dbo.1kp_QRTS_MSP"
pharmacy.dbo.1kp_QRTS_MSP			"pharmacy.dbo.mf2prc, pharmacy.dbo.mf2name, pharmacy.dbo.mf2ndc"
pharmacy.dbo.spNDC_Codes_getdata		BI-RPT-PROD	"pharmacy.dbo.mf2name, pharmacy.dbo.mf2ndc, pharmacy.dbo.AHFDESC, pharmacy.dbo.AHFDRUG"
pharmacy.dbo.spMediSpan_MF2name_UpdateInsertDest		BI-RPT-PROD	"pharmacy.dbo.mf2name, pharmacy.dbo.mf2name_History, pharmacy.dbo.mf2name_Staging"
pharmacy.dbo.mf2name_History		BI-RPT-PROD	pharmacy.dbo.spMediSpan_MF2name_UpdateInsertDest
pharmacy.dbo.mf2name_Staging		BI-RPT-PROD	"pharmacy.dbo.spMediSpan_MF2name_UpdateInsertDest, pharmacy.dbo.spMediSpan_TruncateTables"
product.dbo.spKPI_BuildEmailBodyMessage		BI-RPT-PROD	"product.dbo.KPI_FileLog, product.dbo.kpi_vendor_input"
product.dbo.spKPI_CheckFileLogExist		BI-RPT-PROD	product.dbo.KPI_FileLog
product.dbo.sp_KPI_DeactiveateLastFileLog		BI-RPT-PROD	product.dbo.KPI_FileLog
product.dbo.spKPI_InsertFileLog		BI-RPT-PROD	product.dbo.KPI_FileLog
